image_name,style,color,pattern,material,estimated_pricing,gender,events,type_of_clothing,name,description
dogdabredhoodie.jpg,streetwear,red,graphic,cotton,$50 ,unisex,casual,hoodie,Dabbing Pug Hoodie,"A vibrant red cotton hoodie featuring a playful graphic of a dabbing pug dog on the front, perfect for casual streetwear and everyday comfort."
denimjacket.png,casual,blue,solid,denim with sherpa lining,$80 ,unisex,casual,jacket,Sherpa Lined Denim Jacket,"A light blue denim jacket featuring a soft white sherpa lining and collar, perfect for casual and cool weather wear."
png-men-wear-pastel-fashionable-portrait-jacket-adult_53876-727411.jpg,streetwear,pink,solid,cotton,$150 ,male,casual,jacket and pants,Urban Pink Relaxed Set,"A trendy streetwear outfit consisting of a light pink oversized jacket with button details and matching pink relaxed fit pants, paired with a soft yellow crewneck t-shirt. Made from comfortable cotton material, perfect for casual day-to-day wear."
png-transparent-dungarees-mockup-with-brown-hoodie-street-style-shoot_53876-1044898.jpg,streetwear,white,solid,cotton,$100 ,male,casual,overalls,Urban Classic White Overalls,"White cotton overalls featuring navy adjustable straps, paired with a brown hooded sweatshirt. Relaxed casual streetwear look perfect for day-to-day wear."
whitetshirt_wornbyperson.jpg,casual,white,solid,cotton,$30 ,male,casual,shirt,Classic White Tee,"A simple, clean white cotton t-shirt with a crew neck and short sleeves, perfect for everyday casual wear."
10493.jpg,casual,white,graphic,cotton,$30 ,female,casual,T-shirt,Heart Tree Cotton Tee,A white cotton T-shirt featuring a black tree graphic adorned with hanging red hearts and the text 'It my Hearts.' Ideal for casual everyday wear.
10461.jpg,casual,white,graphic print,cotton,$50 ,male,casual,polo shirt,Classic Graphic Polo,"A white cotton polo shirt featuring a navy blue graphic print on the chest and sleeve, offering a comfortable and casual style perfect for everyday wear."
brookcreamhoodie.jpg,streetwear,white,text print,cotton,$50 ,unisex,casual,hoodie,Brooklyn Vintage Hoodie,"A cozy off-white cotton hoodie featuring bold brown printed text 'BROOKLYN EST. 1631 NEW YORK' on the front, with a front kangaroo pocket and drawstring hood."
american-man-png-sticker-mens-casual-fashion-transparent-background_53876-978709.jpg,casual,green,solid,cotton,$100 ,male,casual,jacket,Evergreen Casual Shirt Jacket,"A comfortable, solid green cotton shirt jacket featuring a button front and two chest pockets, perfect for casual everyday wear."
10186.jpg,business casual,blue,striped,cotton,$50 ,male,business,shirt,Blue Striped Business Shirt,"A classic blue striped cotton shirt with black and white accents, designed for a polished business casual look."
